movie_id,title,language,country,genres,budget,revenue,votes_count,duration,year,imdb_rating,profit,roi,budget_category
1,Avatar ,English,USA,Action|Adventure|Fantasy|Sci-Fi,237000000.0,760505847.0,886204,178,2009,7.9,523505847.0,2.21,High budget
2,Pirates of the Caribbean: At World's End ,English,USA,Action|Adventure|Fantasy,300000000.0,309404152.0,471220,169,2007,7.1,9404152.0,0.03,High budget
3,Spectre ,English,UK,Action|Adventure|Thriller,245000000.0,200074175.0,275868,148,2015,6.8,-44925825.0,-0.18,High budget
4,The Dark Knight Rises ,English,USA,Action|Thriller,250000000.0,448130642.0,1144337,164,2012,8.5,198130642.0,0.79,High budget
5,John Carter ,English,USA,Action|Adventure|Sci-Fi,263700000.0,73058679.0,212204,132,2012,6.6,-190641321.0,-0.72,High budget
6,Spider-Man 3 ,English,USA,Action|Adventure|Romance,258000000.0,336530303.0,383056,156,2007,6.2,78530303.0,0.3,High budget
7,Tangled ,English,USA,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,260000000.0,200807262.0,294810,100,2010,7.8,-59192738.0,-0.23,High budget
8,Avengers: Age of Ultron ,English,USA,Action|Adventure|Sci-Fi,250000000.0,458991599.0,462669,141,2015,7.5,208991599.0,0.84,High budget
9,Harry Potter and the Half-Blood Prince ,English,UK,Adventure|Family|Fantasy|Mystery,250000000.0,301956980.0,321795,153,2009,7.5,51956980.0,0.21,High budget
10,Batman v Superman: Dawn of Justice ,English,USA,Action|Adventure|Sci-Fi,250000000.0,330249062.0,371639,183,2016,6.9,80249062.0,0.32,High budget
11,Superman Returns ,English,USA,Action|Adventure|Sci-Fi,209000000.0,200069408.0,240396,169,2006,6.1,-8930592.0,-0.04,High budget
12,Quantum of Solace ,English,UK,Action|Adventure,200000000.0,168368427.0,330784,106,2008,6.7,-31631573.0,-0.16,High budget
13,Pirates of the Caribbean: Dead Man's Chest ,English,USA,Action|Adventure|Fantasy,225000000.0,423032628.0,522040,151,2006,7.3,198032628.0,0.88,High budget
14,The Lone Ranger ,English,USA,Action|Adventure|Western,215000000.0,89289910.0,181792,150,2013,6.5,-125710090.0,-0.58,High budget
15,Man of Steel ,English,USA,Action|Adventure|Fantasy|Sci-Fi,225000000.0,291021565.0,548573,143,2013,7.2,66021565.0,0.29,High budget
16,The Chronicles of Narnia: Prince Caspian ,English,USA,Action|Adventure|Family|Fantasy,225000000.0,141614023.0,149922,150,2008,6.6,-83385977.0,-0.37,High budget
17,The Avengers ,English,USA,Action|Adventure|Sci-Fi,220000000.0,623279547.0,995415,173,2012,8.1,403279547.0,1.83,High budget
