movie_id,genres
1,Action
1,Adventure
1,Fantasy
1,Sci-Fi
2,Action
2,Adventure
2,Fantasy
3,Action
3,Adventure
3,Thriller
4,Action
4,Thriller
5,Action
5,Adventure
5,Sci-Fi
6,Action
6,Adventure
6,Romance
7,Adventure
7,Animation
7,Comedy
7,Family
7,Fantasy
7,Musical
7,Romance
8,Action
8,Adventure
8,Sci-Fi
9,Adventure
9,Family
9,Fantasy
9,Mystery
10,Action
10,Adventure
10,Sci-Fi
11,Action
11,Adventure
11,Sci-Fi
12,Action
12,Adventure
13,Action
13,Adventure
13,Fantasy
14,Action
14,Adventure
14,Western
15,Action
15,Adventure
15,Fantasy
15,Sci-Fi
16,Action
16,Adventure
16,Family
16,Fantasy
17,Action
17,Adventure
17,Sci-Fi
18,Action
18,Adventure
18,Fantasy
19,Action
19,Adventure
19,Comedy
19,Family
19,Fantasy
19,Sci-Fi
20,Adventure
20,Fantasy
21,Action
21,Adventure
21,Fantasy
22,Action
22,Adventure
22,Drama
22,History
23,Adventure
23,Fantasy
24,Adventure
24,Family
24,Fantasy
25,Action
25,Adventure
25,Drama
25,Romance
26,Drama
26,Romance
27,Action
27,Adventure
27,Sci-Fi
28,Action
28,Adventure
28,Sci-Fi
28,Thriller
29,Action
29,Adventure
29,Sci-Fi
29,Thriller
30,Action
30,Adventure
30,Thriller
31,Action
31,Adventure
31,Fantasy
31,Romance
32,Action
32,Adventure
32,Sci-Fi
33,Adventure
33,Family
33,Fantasy
34,Action
34,Adventure
34,Fantasy
34,Sci-Fi
34,Thriller
35,Adventure
35,Animation
35,Comedy
35,Family
35,Fantasy
36,Action
36,Adventure
36,Sci-Fi
37,Action
37,Adventure
37,Sci-Fi
38,Adventure
38,Family
38,Fantasy
39,Action
39,Adventure
39,Fantasy
39,Sci-Fi
40,Action
40,Adventure
40,Sci-Fi
41,Adventure
41,Animation
41,Comedy
41,Family
41,Sport
42,Action
42,Adventure
42,Sci-Fi
43,Adventure
43,Animation
43,Comedy
43,Family
43,Fantasy
44,Action
44,Adventure
44,Sci-Fi
45,Action
45,Crime
45,Thriller
46,Action
46,Adventure
46,Horror
46,Sci-Fi
46,Thriller
47,Action
47,Adventure
47,Fantasy
47,Sci-Fi
47,Thriller
48,Action
48,Adventure
48,Sci-Fi
49,Adventure
49,Fantasy
50,Drama
50,Romance
51,Action
51,Adventure
51,Fantasy
51,Romance
52,Action
52,Adventure
52,Sci-Fi
53,Action
53,Adventure
53,Sci-Fi
54,Action
54,Adventure
54,Fantasy
55,Adventure
55,Animation
55,Comedy
55,Family
55,Fantasy
56,Action
56,Adventure
56,Sci-Fi
56,Thriller
57,Adventure
57,Animation
57,Family
57,Sci-Fi
58,Action
58,Comedy
58,Crime
58,Thriller
59,Action
59,Adventure
59,Sci-Fi
60,Animation
60,Drama
60,Family
60,Fantasy
61,Action
61,Adventure
61,Sci-Fi
62,Action
62,Adventure
62,Drama
62,Romance
63,Adventure
63,Family
63,Fantasy
64,Action
64,Adventure
64,Sci-Fi
65,Action
65,Crime
65,Drama
65,Thriller
66,Adventure
66,Animation
66,Comedy
66,Family
67,Action
67,Adventure
67,Animation
67,Comedy
67,Family
67,Sci-Fi
68,Action
68,Adventure
68,Sci-Fi
69,Adventure
69,Drama
69,Family
69,Mystery
70,Action
70,Comedy
70,Sci-Fi
70,Western
71,Action
71,Adventure
71,Fantasy
71,Horror
71,Thriller
72,Action
72,Adventure
72,Comedy
72,Sci-Fi
73,Comedy
73,Family
73,Fantasy
74,Action
74,Adventure
74,Sci-Fi
75,Action
75,Adventure
75,Sci-Fi
75,Thriller
76,Action
76,Adventure
76,Sci-Fi
76,Thriller
77,Adventure
77,Animation
77,Comedy
77,Drama
77,Family
77,Fantasy
78,Adventure
78,Drama
78,Family
78,Fantasy
79,Action
79,Adventure
79,Sci-Fi
80,Action
80,Adventure
80,Drama
80,Fantasy
81,Action
81,Adventure
81,Family
81,Fantasy
81,Romance
82,Action
82,Adventure
82,Drama
82,Sci-Fi
83,Action
83,Adventure
83,Drama
83,Fantasy
84,Action
84,Adventure
84,Sci-Fi
85,Adventure
85,Animation
85,Comedy
85,Family
85,Fantasy
86,Action
86,Adventure
86,Family
86,Mystery
86,Sci-Fi
87,Action
87,Adventure
87,Animation
87,Comedy
87,Drama
87,Family
87,Sci-Fi
88,Adventure
88,Animation
88,Comedy
88,Family
88,Sci-Fi
89,Adventure
89,Animation
89,Family
89,Fantasy
90,Action
90,Adventure
90,Sci-Fi
91,Adventure
91,Animation
91,Family
91,Fantasy
92,Action
92,Sci-Fi
93,Action
93,Adventure
93,Sci-Fi
94,Adventure
94,Drama
94,Sci-Fi
95,Action
95,Adventure
95,Sci-Fi
95,Thriller
96,Adventure
96,Fantasy
97,Action
97,Crime
97,Thriller
98,Drama
98,Fantasy
98,Romance
99,Action
99,Adventure
99,Sci-Fi
100,Adventure
100,Sci-Fi
101,Action
101,Adventure
101,Family
101,Fantasy
102,Action
102,Adventure
102,Drama
102,Thriller
103,Adventure
103,Family
103,Fantasy
104,Adventure
104,Animation
104,Comedy
104,Family
104,Fantasy
105,Action
105,Adventure
105,Fantasy
106,Action
106,Adventure
106,Sci-Fi
107,Adventure
107,Family
107,Fantasy
108,Action
108,Drama
108,History
108,Romance
108,War
109,Action
109,Adventure
109,Sci-Fi
110,Action
110,Adventure
110,Biography
110,Drama
110,History
110,Romance
110,War
111,Adventure
111,Family
111,Fantasy
111,Mystery
112,Adventure
112,Family
112,Fantasy
112,Mystery
113,Action
113,Drama
114,Drama
114,Horror
114,Sci-Fi
115,Adventure
115,Comedy
115,Family
115,Fantasy
116,Animation
116,Comedy
116,Family
116,Fantasy
117,Action
117,Adventure
118,Action
118,Adventure
118,Animation
118,Comedy
118,Family
119,Adventure
119,Comedy
119,Family
119,Fantasy
120,Action
120,Adventure
120,Fantasy
120,Sci-Fi
120,Thriller
121,Action
121,Sci-Fi
122,Adventure
122,Animation
122,Comedy
122,Family
122,Fantasy
122,Musical
123,Action
123,Sci-Fi
124,Action
124,Adventure
124,Fantasy
125,Action
125,Adventure
125,Sci-Fi
125,Thriller
126,Mystery
126,Thriller
127,Action
127,Adventure
127,Fantasy
128,Adventure
128,Animation
128,Comedy
128,Drama
128,Family
129,Action
129,Adventure
129,Animation
129,Comedy
129,Family
129,Fantasy
129,Sci-Fi
130,Action
130,Adventure
130,Fantasy
131,Comedy
131,Fantasy
131,Horror
132,Action
132,Adventure
132,Thriller
133,Drama
133,Fantasy
133,Horror
133,Thriller
134,Action
134,Adventure
134,Drama
134,Romance
135,Adventure
135,Animation
135,Comedy
135,Family
136,Action
136,Adventure
136,Animation
136,Comedy
136,Family
137,Action
137,Adventure
137,Family
137,Fantasy
138,Action
138,Adventure
138,Thriller
139,Action
139,Drama
139,Thriller
140,Action
140,Adventure
140,Animation
140,Comedy
140,Family
140,Sci-Fi
141,Adventure
141,Animation
141,Comedy
141,Family
142,Adventure
142,Family
142,Fantasy
143,Adventure
143,Animation
143,Comedy
143,Family
143,Sci-Fi
144,Adventure
145,Adventure
145,Animation
145,Comedy
145,Family
146,Action
146,Adventure
146,Thriller
147,Action
147,Comedy
147,Fantasy
147,Sci-Fi
148,Action
148,Adventure
148,Sci-Fi
148,Thriller
149,Action
149,Adventure
149,Comedy
149,Family
149,Fantasy
149,Mystery
149,Sci-Fi
150,Action
150,Adventure
150,Animation
150,Fantasy
151,Action
151,Adventure
151,Animation
151,Comedy
151,Family
152,Action
152,Adventure
152,Thriller
153,Adventure
153,Animation
153,Family
153,Fantasy
154,Comedy
154,Crime
155,Action
155,Drama
155,History
155,War
156,Action
156,Adventure
156,Drama
157,Action
157,Adventure
157,Sci-Fi
158,Action
158,Adventure
158,Fantasy
158,Romance
159,Action
159,Adventure
